,name,address,sido,gugun
315,면목1점,"서울특별시 중랑구 면목천로19길 16, 1층(면목동)",서울특별시,중랑구
316,명곡점,대구광역시 달성군 화원읍 비슬로 2420,대구광역시,달성군
317,명보점,충청북도 제천시 용두천로 112(남천동),충청북도,제천시
318,명일점,서울특별시 강동구 동남로67길 44(명일동),서울특별시,강동구
319,모가점,경기도 이천시 모가면 진상미로 1257(성광주택),경기도,이천시
320,모산점,충청남도 아산시 배방읍 모산로 172,충청남도,아산시
321,모슬포점,제주특별자치도 서귀포시 대정읍 상모대서로 25,제주특별자치도,서귀포시
322,모현점,경기도 용인시처인구 모현면 외대로 36,경기도,용인시처인구
323,목감점,경기도 시흥시 동서로 1095,경기도,시흥시
324,목동1점,서울특별시 양천구 목동중앙로 49,서울특별시,양천구
325,목동3점,"서울특별시 양천구 목동동로 50 A-111(신정동, 목동아파트)",서울특별시,양천구
326,목동시장점,서울특별시 양천구 목동중앙남로10길 7,서울특별시,양천구
327,목상석봉점,"대전광역시 대덕구 대덕대로1454번길 11-6(목상동,1층)",대전광역시,대덕구
328,목행점,충청북도 충주시 행정10길 10(목행동),충청북도,충주시
329,무거1점,울산광역시 남구 신복로23번길 15(무거동),울산광역시,남구
330,무실점,강원도 원주시 시청로  88-1,강원도,원주시
331,무원삼보점,경기도 고양시덕양구 화신로 31 무원마을 삼보상가 102,경기도,고양시덕양구
332,무주점,전라북도 무주군 무주읍 향학로 42,전라북도,무주군
333,무지개점,"경기도 성남시분당구 미금로 23 (구미동, 무지개마을)  106호",경기도,성남시분당구
334,묵동점,서울특별시 중랑구 동일로149길 15,서울특별시,중랑구
335,묵호점,"강원도 동해시  발한로 137(발한동, 가동)",강원도,동해시
336,문경점,경상북도 문경시 문경읍 주흘로 29,경상북도,문경시
337,문덕점,경상북도 포항시남구 오천읍 해병로 405 청호아파트상가 101호  펼치기/접기,경상북도,포항시남구
338,문막점,강원도 원주시 문막읍 문막시장1길 55-2,강원도,원주시
339,문산점,"경기도 파주시 문산읍 문향로 82,  102호",경기도,파주시
340,문정점,"서울특별시 송파구 송이로33길 6-17(문정동, 지상1층)",서울특별시,송파구
341,문촌점,경기도 고양시일산서구 대산로 183,경기도,고양시일산서구
342,문학점,"인천광역시 미추홀구 승학길 4(문학동, 101호)",인천광역시,미추홀구
343,문화동점,충청북도 충주시 사직산1길 15-11(문화동),충청북도,충주시
344,문화점,대전광역시 중구 보문산로 161번길 61,대전광역시,중구
345,미금점,경기도 성남시분당구 미금일로 55 상가동108호,경기도,성남시분당구
346,미룡산북점,전라북도 군산시 부곡로 125(미룡동),전라북도,군산시
347,미사1점,"경기도 하남시 미사강변중앙로 223, 113호 (망월동, 센트럴파크1)",경기도,하남시
348,미아점,서울특별시 강북구 도봉로29길 10 1층,서울특별시,강북구
349,미원점,충청북도 청주시상당구 미원면 미원시내2길 19-3,충청북도,청주시상당구
350,민락점,경기도 의정부시 오목로 99,경기도,의정부시
351,박달동점,경기도 안양시만안구 박달로 471,경기도,안양시만안구
352,반달마을점,경기도 부천시원미구 상일로 69 1층,경기도,부천시원미구
353,반송2점,부산광역시 해운대구 반송로924번길 27-2,부산광역시,해운대구
354,반월점,전라북도 전주시덕진구 반월3길 19 (반월주공아파트상가 104호),전라북도,전주시덕진구
